name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,domesticos,protegidos,exoticos
Adelie Penguin,"['Antarctica', 'Asia', 'Eurasia', 'Ocean']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae,"Krill, Fish, Squid",Chicks,Colony,5 million,Rapid ice melt,Small white circle around each eye,,,Antarctic land and ocean,Carnivore,,Diurnal,Adelie Penguin,1.0,Coastal Antarctica,Eats up to 2kg of food per day!,Bird,,Feathers,45 mph,10 - 20 years,3kg - 6kg (7lbs - 13lbs),,2 - 3 years,,,"Leopard Seal, Skua Gull, Killer Whale",,40cm - 75cm (16in - 30in),,,,35cm - 70cm (14in - 27.5in),2 months,90 days,2.0,,,,,,,,,1,0,0
African Grey Parrot,['Africa'],Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittacus,Psittacus erithacus,,,,"630,00 to 13 million","Habitat destruction, pet trade, pesticides, hunting",,"Congo grey parrot, grey parrot, Congo African grey parrot",,"Lowland forests, mangroves, savannas, gardens",Herbivore,,,African grey parrot,1.0,Central and West Africa,,,GreyRed,,42 mph,"23 years in the wild, up to 60 years in captivity",14.75 to 18.5 ounces,13 inches,,,three to five,"Birds of prey, monkeys, terrestrial predators",bird,,,,,18 to 20.5 inches,30 days,,4.0,,,,Tree cavity,12 weeks,,,,1,0,0
African Penguin,"['Africa', 'Ocean']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus demersus,"Fish, Squid, Crustaceans",Chick,Colony,"140,000",Habitat disruption,Pink glands above their eyes,Jackass Penguin,,Rocky Ocean Islands,Carnivore,,Diurnal,African Penguin,1.0,south-west African coast,The only penguin species in Africa!,Bird,GreyBlackWhite,Feathers,12.4 mph,10 - 15 years,2kg - 5kg (4.4lbs - 11lbs),,3 - 4 years,,,"Sharks, Fur Seals, Gulls",,60cm - 68cm (24in - 27in),,,,,40 days,3 - 5 months,2.0,,Salt,,,,,,,1,0,0
Albatross,"['Africa', 'North-America', 'Ocean', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,,Diomedeidae,"Squid, krill, and fish",Chicks,Colonial Nesting,Varies by species,Depletion of prey from overfishing,The large size,Mollymawk or gooney bird,A few months,Open seas and oceans,Carnivore,,,Albatross,,The Southern Hemisphere and North Pacific,,,BrownGreyYellowRedBlackWhite,Feathers,50 mph,Up to 50 years,Up to 22lbs (10kg),Up to 4.4ft (1.2m),5 to 10 years,,1,"Humans, sharks, cats, and rats",Bird,,,,,Up to 3.3m (11ft),,3 to 10 months,,,,,,,,,,1,0,0
Amazon Parrot,"['Central-America', 'South-America']",Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,,,,,"The populations of many wild Amazon parrots haven’t been quantified, but 58 percent of these parrots are now considered endangered as of 2021. As of 2020 there were 2361 yellow-naped Amazon parrots, and there are an estimated 9000 to 10,000 red-tailed amazons in the wild. On the other hand, the Imperial amazon is considered critically endangered, and there may be only 50 adult birds in the wild.","Pet trade, habitat destruction",Their colorful feathers,"Sisserou, turquoise-fronted parrot, yellow-shouldered parrot, mercenary amazon, red-tailed parrot, cuca",,"Woodlands, savannas, rainforests, palm groves, cloud forests, moist forests, mountain forests",Herbivore,,,Amazon Parrot,35.0,"South America, the Caribbean, Mexico, South Africa, Europe",,,YellowRedBlueGreenPurple,Feathers,50 mph,As long as 100 years,7.6 ounces to 32 ounces,10 to 20 inches long,,,Two to five,"Monkeys, birds of prey, snakes",Bird,,,,,8 inches to 11.26 inches,About a month,,,,,,Tree cavity,Two months,,,,1,0,0
American Robin,"['Central-America', 'Europe', 'North-America']",Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus Linnaeus,Turdus migratorius,"earthworms, caterpillars, grasshoppers, beetle grubs, spiders, and snails",fledling,,310 million,pesticides,orange chest,,,"woodland, shrubland, and residential",Omnivore,,,American robin,7.0,North America,,,GreyBlackWhiteOrange,Feathers,36 mph,2 years,75-77g,8-11in,,,3-5,"birds of prey, snakes, and cats",bird,,,,,12-16in,12-14 days,,,,,,tree forks and dense shrubs,,,,1.0,1,0,0
Avocet,"['Asia', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Recurvirostra,Recurvirostra,,,,,,,,,Temperate wetlands,Carnivore,,Flock,,,,"Has a curved, upturned beak!",,BlackWhite,Feathers,25 mph,10 - 15 years,140g - 400g (5oz - 14oz),42cm - 45cm (16in - 18in),,,,"Dogs, Cats, Stouts",Bird,,Long curved beak and striking plumage,,,29-31.5 inches,3-4 weeks,,,"Insects. Fish, Crustaceans",,,Shores,About a month,Insects,,1.0,1,0,0
Bald Eagle,['North-America'],Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,haliaeetus leucocephalus,"Fish, birds, and small mammals",,,,Pesticide use,The white plumage on the head,American eagle,,Near forests,Carnivore,,,bald eagle,1.0,North America,,,BrownYellowWhite,,100 mph,15-20 years in the wild,6.6-14lbs,,,,,"Wolverines, bobcats, foxes, bears, raccoons, and birds",bird,28-38 inches,,,,70-90 inches,35 days,,2.0,,,,"Cliffs, trees, buildings, and ground",8-14 weeks,,,,1,0,0
Barn Owl,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Strigiformes,Tytonidae,Tyto,Tyto alba,,,,,,,,,Open plains and low-lying woodland,Carnivore,,Solitary,,,,Found everywhere around the world!,,BrownGreyBlackWhiteOrange,Feathers,50 mph,5 - 10 years,300g - 550g (10oz - 19.4oz),,,,,,Bird,25cm - 45cm (9.8in - 18in),"White heart-shaped face and large, dark eyes",,,75cm - 110cm (30in - 43in),,,4.0,"Small mammals, Fish, Birds",,,,,Small mammals,,,1,0,0
Barn Swallow,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,Hirundo rustica,,,,290-487 million,humans,forked tail,swallow,,"grassland, shrubland, wetland, savanna, urban",Carnivore,,,barn swallow,1.0,"North America, South America, Central America",,,BlueBlackWhiteOrangeBeige,Feathers,45 mph,,17g-20g (0.037lb-0.044lb),15cm-19cm (5.9in-7.5in),,,4-5,"falcons, hawks, owls",bird,,,,,29cm-34cm (11.4in-13.3in),12-17 days,,,insects,,,in or around structures,,,,1.0,0,1,0
Barred Owl,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,Strix varia,"Mammals, including house mice and rabbits, other birds, amphibians, reptiles, insects and other invertebrates and even fish.",,,3 million and increasing,Great horned owl,Its facial disk and huge eyes.,"Striped Owl, Northern Barred Owl, Hoot Owl, Ol’ Eight-Hooter",,"Forests, especially old growth forests near bodies of water, wooded swamps",Carnivore,,,Barred owl,4.0,North America,,,BrownGrey,,30 mph,18 years,"Males weigh 1 to 1.8 pounds, females weigh about 1.8 to 2 pounds","18.9 inches for males, 20 inches for females",,,Two to three,"Raccoons and weasels, great horned owls, humans",Bird,,,,,42.13 to 43.7 inches,28 to 33 days,,3.0,,,,"Tree cavities, larger abandoned nests, squirrel drays. Barred owls may also choose a nest box.",Four to five weeks,,,,1,0,0
Baya,['Asia'],Animalia,Chordata,Aves,Passeriformes,Ploceidae,Ploceus,Ploceus philippinus,"Seeds, grains, insects, frogs, and other animals",,,Unknown,Habitat loss,The bright yellow plumage,Baya weaver,,"Grasslands, farmlands, and forests",Omnivore,,,Baya,-2.0,South Asia,,,BrownYellowBlackWhite,,,10-15 years,28g (1oz),,,,,"Lizards, snakes, crows, and birds of prey",Bird,15cm (6in),,,,25cm (10in),14-17 days,,-3.0,,,,Thorny trees,17 days,,,1.0,1,0,0
Bearded Vulture,"['Africa', 'Asia', 'Europe']",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,,Gypaetus barbatus,"Tortoises, mammals, birds",,,"1,675-6,700","Poisoning, power lines",Black bristly feathers under its bill,Lammergeier,,"Rocky cliffs, shrublands, forests",Carnivore,1-2,,Bearded vulture,11.0,"Asia, Africa, Europe",,,GreyYellowRedBlackCream,Feathers,40 mph,,,,,,1-2,Humans,bird,,,,,7.5 feet to 9 feet,53-60,,-2.0,,,,Rocky ledges,3 months,,,,0,1,0
Bird Of Paradise,"['Asia', 'Oceania']",Animalia,Chordata,Aves,Passeriformes,Paradisaeidae,,,,,,,,,,,Tropical forest tree tops,Omnivore,,Solitary,,,,There are around 50 different species!,,BrownGreyYellowRedBlueBlackWhiteGreen,Feathers,,5 - 8 years,50g - 430g (1.8oz - 15.2oz),,,,,,Bird,15cm - 110cm (6in - 43in),Brightly coloured feathers and elaborate dance of males,,,7.8 to 47.2 inches (20 to 120 cm),16 to 22 days,,,"Insects, Fruit, Seeds, Berries",,,Forks of trees,A few months to 7 years,Insects,,,1,0,0
Black-Capped Chickadee,['North-America'],Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,P. atricapillus,Insects,"Hatchling, chick, or fledgling, depending on their stage of development",SociableFlock,41 million,Habitat distruction,Striking color pattern,Chickadee,,"Forests of deciduous and coniferous trees, gardens, parks, and backyards",Omnivore,,,Black-Capped Chickadee,,,,,BrownGreyBlackWhite,Feathers,,3 - 11.5 years,0.36 ounces,4.75 - 5.5 inches,,,,"Hawks, owls, cats",North America,4 - 6 inches,,,,6 - 8 inches,,,,Insects,,,"Tree cavities, birdhouses",14 - 18 days,"Insects, berries, and seeds",,,1,0,0
Blackpoll Warbler,"['Europe', 'North-America']",Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophage,Setophaga striata,"Flies, lice, beetles, fruit",,,"59,000,000",habitat loss,Black feathers on its head (males),New World warbler,,Evergreen forests and thickets,Omnivore,,,Blackpoll warbler,,"North America, South America, western Europe",,,BrownBlackWhiteGreen,,37 mph,3-6 years, 0.4-0.5 ounces,Up to 5.5inches,,,3-5 eggs,hawks and snakes,bird,3-4 inches,,,,8-9 inches,12 days,,,,,,in trees- up to 30 feet above the ground,11-12 days,,,1.0,1,0,0
Blue grosbeak,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Passeriforme,Cardinalidae,Passerina,Passerina caerulea,"Insects, snails and other small invertebrates",,,24 million,Predators such as cats,The male’s bright blue plumage,,,Favored habitat is open woods with some shrubs and small trees,Omnivore,,,Blue grosbeak,1.0,"United States, Mexico, Central America, the Caribbean",,,BrownBlue,Feathers,30 mph,,0.92 and 1.11 ounces,5.5 to 7.5 inches,,,Three to five chicks,"Cats, snakes, birds of prey",Bird,,,,,10 to 11.5 inches,12 to 13 days,,,,,,"In small trees, vines, briars or shrubs near an open area",9 to 10 days,,,1.0,1,0,0
Blue Jay,['North-America'],Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocitta,Cyanocitta cristata,"Grasshoppers, caterpillars, beetles",Nestlings,,13 million,Predators and collision with man-made structures,“Jay-jay” sounds while communicating and bright blue feathers,,16 to 18 days,"Low forest areas, oak and beech trees, city parks, residential areas",Omnivore,,DiurnalSociable,Blue Jay,3.0,"North America, Southern Canada",,Party/ band,Blue,Feathers,25 mph,7 years on an average,2.7 to 3.5 oz,9 to 12 inches,One year,17 to 21 days old,Two to seven nestlings,"Cats, hawks, owls, snakes, raccoons",,9 to 12 inches,,,,,,,,,,,,,"Nuts, seeds, acorns, grasshoppers, caterpillars, beetles, eggs, nestlings",,,1,0,0
Budgerigar,['Oceania'],Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Melopsittacus,Melopsittacus undulatus,,,,,,,,,Open woodland and grassland near water,Omnivore,,Flock,,,,Natively found in Australia!,,GreyYellowBlueBlackWhiteGreen,Feathers,,3 - 6 years,30g - 40g (1oz - 1.4oz),,,,,"Human, Snakes, Large Birds",Bird,15cm - 20cm (5.9in - 7.8in),Brightly coloured feathers and warble communication calls,,,25cm - 35cm (10in - 14in),18 to 20 days,,6.0,"Seeds, Fruit, Insects, Berries",,,Tree cavities,3 to 4 months,Seeds,,1.0,0,0,0
Carolina Parakeet,['North-America'],Animalia,Chordata,Aves,Psittaciformes,Psittacidae,†Conuropsis,†Conuropsis carolinensis,,,,None,Hunting,The brightly colored plumage,,,Woodlands,Omnivore,,,Carolina Parakeet,1.0,United States,,,YellowBlueGreenOrange,Feathers,,Up to 30 years,280g,12-13 inches,,,,"Birds of prey, raccoons, skunks, squirrels, and snakes",Bird,,,,,21-23in,23 days,,1.0,,,,Hollowed trees,18-19 days,"Fruits, seeds, flowers, and insects",,,1,0,0
Cassowary,['Oceania'],Animalia,Chordata,Aves,Casuariiformes,Casuariidae,Casuarius,,,,,,,,,,Wet tropical forests,Omnivore,,Solitary,,,,Can reach speeds of 30mph!,,YellowBlueBlackTan,Feathers,31 mph,40 - 60 years,25kg - 58.5kg (55lbs - 129lbs),,,,,"Dingo, Crocodile, Humans",Bird,1.5m - 2m (59in - 79in),Sharp claws and horn-like crest,,,Wings are tiny,49 to 52 days,,5.0,"Insects, Grass, Fungi",,,The ground,9 months,,,,1,0,0
Chickadee,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Passeriformes,Paridae,,,Insects,,,43 million,Habitat loss,"""Cap"" of dark feathers on head","Tit, titmous",,Open woodland,Omnivore,,,Chickadee,7.0,North America,,,GreyBlackWhite,Feathers,12 mph,About 3 years,0.3 to 0.4 oz,About 3 inches,,,4 to 8,Birds of prey,Bird,About 2 inches,,,,6 to 8 inches (15 to 20 cm),12 days,,,,,,Tree Cavity,10 days,"Insects, seeds",,,1,0,0
Chinstrap Penguin,"['Antarctica', 'Ocean']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis Antarcticus,,,,,,,,,Rocky Antarctic Islands,Carnivore,2,Colony,,,,There are 7 million breeding pairs!,,GreyBlackWhite,Feathers,,15 - 20 years,3kg - 6kg (6.6lbs - 13lbs),,,,,"Leopard Seal, Killer Whale, Sea Birds",Bird,60cm - 68cm (24in - 27in),"White face and thin, black line that runs under the chin",,,,,,,"Krill, Fish, Shrimp",,,,,Krill,,,1,0,0
Chipping Sparrow,['North-America'],Animalia,Chordata,Aves,Passeriformes,Passerellidae,Spizella,Spizella passerina,"Caterpillars, grasshoppers, other insects, some spiders",,Flock,200 million,Humans (exposure to pesticides and roaming cats),Conifer or deciduous trees,Hair bird,,Grassy woodlands,Omnivore,,,Chipping Sparrow,,,,,BrownGrey,Feathers,,,,5 inches,,,,"Domestic cats, snakes, hawks",,,14 - 16 days after hatching,,,8 to 9 inches,10 - 15 days,,,,,,Conifer or deciduous trees,14 - 16 days after hatching,Insects and seeds,,,1,0,0
Cockatiel,['Oceania'],Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Nymphicus,Nymphicus hollandicus,Terrestrial insects,,,"Undetermined, but conservation status is least concern",Birds of prey,Its cheek patches,"Weiro bird, quarrion",,"Scrub, bush, wetlands",Herbivore,,,Cockatiel,1.0,Australia,,,GreyYellowWhiteOrange,Feathers,43 mph,"As long as 35 years, average between 15 and 25 or longer in captivity",3.17 ounces,9.84 to 13.8 inches,,,Five,Raptors,Bird,,,,,11.8 to 13.7 inches,17 to 23 days,,5.0,,,,Tree cavities,Three to five weeks,,,,1,0,0
Cockatoo,"['Asia', 'Oceania']",Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,,,,Chicks or hatchlings,Flock,,,Crest of feathers on the head,,,"Forests, groves, and plains",Omnivore,,,Cockatoo,,"Australia, New Guinea, Philippines, Indonesia, and Pacific islands","Highly social, smart, and chatty bird.",Birds,,Feathers,,20 to 70 years in the wild,"300g – 1,200g (0.66lbs – 2.65lbs)",30cm - 76cm (12in - 30in),3 to 7 years,,,"Falcons, eagles, owls, snakes, and cats",,,,,,Varies,,,,,,,,,"Fruits, seeds, and tubers",,,1,0,0
Common Buzzard,"['Africa', 'Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo buteo,,,,,,,,,Countryside and woodland,Carnivore,,Solitary,Common Buzzard,,,The most common raptor in the UK!,,BrownGreyBlackWhite,Feathers,25 mph,12 - 20 years,400g - 1400g (15oz - 48oz),51cm - 57cm (20in - 22in),,,,"Fox, Eagle, Wildcats",Bird,,Small head and curved beak,,,42-53 inches,33-38 days,,3.0,"Rabbit. Pheasant, Lizards",,,Tree branch or fork in tree,1 month,Rabbit,,1.0,0,1,0
Common Raven,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America']",Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus corax,"Insects, small mammals, reptiles, amphibians, spiders, eggs",,Flocks,16 million,Humans,Their intelligence,"Corby, corbeau, western raven, northern raven",,"Open areas such as tundras, taigas, cliffs, deserts, plains, but can be found in just about every habitat save rainforests",Omnivore,,,Raven,,"Most countries in the northern hemisphere, including most of North America, southern Greenland, north Africa, most of Europe, Russia and China",,,Black,Feathers,40 mph,13 to 44 years,1.5 to 3.6 pounds,25 inches,,,Three to seven,"Owls, eagles, martens attack their eggs, larger birds of prey such as great horned owls and mammalian carnivores such as coyotes or cougars might prey on younger ravens.",Bird,,,,,45 to 51 inches,18 to 25 days,,1.0,,,,"Old trees, ledges, cliffs, even utility poles",35 to 42 days,,,,1,0,0
Cooper’s Hawk,"['Central-America', 'North-America']",Animalia,Hemichordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter cooperii,"Birds, mammals",Chicks,Solitary,"100,000-1,000,000",Habitat loss,Long tail and rounded wingtips,"Chicken hawk, flying cross, striker",,"Woodlands, forests",Carnivore,,,Cooper's hawk,,North America,,Pairs,BrownGreyWhite,Feathers,,12 years,0.45kg-0.7kg (1lbs-1.5lbs),0.35m-0.46m (1.1ft-1.5ft),2 years,1 month,3-5,,Hawk,,,,,,35 Days,,,,,,,,,,,1,0,0
Crane,"['Africa', 'Asia', 'Eurasia', 'Europe', 'North-America', 'Oceania']",Animalia,Chordata,Aves,Gruiformes,Gruidae,,Gruidae,,,,,,,,,Temperate wetlands,Omnivore,,Flock,,,,Many are critically endangered species!,,BrownGreyRedBlueBlackWhite,Feathers,25 mph,15 - 30 years,3.7kg - 10kg (8.2lbs - 22lbs),1m - 1.4m (40in - 55in),,,,"Fox, Eagle, Wildcats",Bird,,Large body size and long beak,,,1.8m - 2.4m (71in - 95in),,,4.0,"Insects. Fish, Grain",,,,,Insects,,,1,0,0
Eagle,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'South-America']",Animalia,Chordata,Aves,Falconiformes,Accipitridae,,,,,,,,,,,"Open waters like rivers, lakes and coastal regions",Carnivore,,Solitary,,,,Has exceptional eyesight!,,BrownGreyYellowBlackWhite,Feathers,100 mph,15 - 30 years,0.5kg - 7kg (1.1lbs - 15.4lbs),,,,,"Human, Hawk, Raccoon",Bird,40cm - 100cm (15.7in - 39.3in),"Long curved beak and strong, sharp claws",,,70cm - 250cm (27.5in - 98in),,,2.0,"Fish, Mammals, Reptiles",,,In trees or on cliffs,,Fish,,,1,0,0
Eastern Bluebird,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Passeriformes,Turdidae,Sialia,Sialia sialis,"Insects, snails, spiders, beetles, earthworms, grasshoppers, katydids, crickets and other small invertebrates.",,,20 million,"Habitat destruction, invasive species, pet cats",The bright blue color of the male’s feathers,Blue robin,,"Habitat includes farmland, open country, parks, orchards, backyards, hedgerows",Omnivore,,,Bluebird,8.0,North and Central America east of the Rocky Mountains,,,RedBlueWhiteOrange,Feathers,17 mph,Six to 10 years,0.95 to 1.2 ounces,6.3 to 8.3 inches,,,Three to seven,"Rodents, black bears, raccoons, snakes, cats, birds of prey and fire ants.",Bird,,,,,9.8 to 12.6 inches across,About two weeks.,,7.0,,,,Abandoned woodpecker hole or other tree cavities a few feet from the ground.,15 days,,,1.0,1,0,0
Eastern Phoebe,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Sayornis,Sayornis phoebe,"Wasps, bees, flies, grasshoppers, bees, spiders, millipedes, ticks, and other insects.",,,"Approximately 32 million, as of 2015.","Brown-headed cowbird, which replaces the egg’s in the Eastern phoebe’s nest with their own.",Wags its tail as it sits.,,,"Forests, swamps, marshes, gardens, streams, and other agricultural areas",Omnivore,,,Eastern phoebe,1.0,Southeastern United States and northern Mexico,,,CreamGrey-Brown,Feathers,,up to 10 years,0.6 to 0.7 ounces,5.5 to 6.7 inches,,,2-6,"Snakes, chipmunks, mice, house wrens, crows, and jays, which predominantly go after the eggs.",Bird,Up to 7.5 inches,,,,10.2 to 11 inches,16 days,,,,,,"Under bridges, in barns, and other areas with shelter above and support below.",Only during the first breeding,,,1.0,1,0,0
Eclectus Parrot,['Oceania'],Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Eclectus,Eclectus roratus,,,,"7,300 – 51,000 mature adults",Pet trade,Bright colors (typically green and red),,,Rainforests,Herbivore,,,Eclectus parrot,1.0,"The Solomon Islands, Indonesia, New Guinea, Australia, the Moluccas",,,RedBlueGreen,Leather,40 mph,30+ years,16 ounces,12 – 14.5 inches,,,2 eggs,"Possums, birds of prey, wild dogs",Bird,,,,,8-10 inches,28-30 days,,2.0,,,,Holes in high trees,Around 7 months,,,,1,0,0
Egyptian Goose,['Africa'],Animalia,Chordata,Aves,Anseriformes,Anatidae,Alopochen,Alopochen aegyptiacus,"Insects, frogs, terrestrial worms",,,"200,000 - 500,000",Hunting due to perception as an invasive species,"A ""mask"" around the eye area","Nile Goose, Bata",,"Open wetland areas such as rivers, estuaries, marshes, lakes",Omnivore,,,Egyptian Goose,10.0,"Africa, Asia, Europe, North America",,,BrownWhite,Feathers,70 mph,15-25 years,2.2lbs - 8.8lbs,25-29 inches,,,5-12,"Baboons, eagles, hawks",Bird,24.8in - 28.7in,,,,15 in.,4 weeks,,,,,,On the ground near trees or in dense vegetation,10-12 weeks,,,,0,0,1
Elegant Tern,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Aves,Charadriiformes,Laridae,Thalasseus,Thalasseus elegans,"Small fish, crustaceans",,,"51,000-90,000",Loss of food source,Black cap of feathers,Tern,,"Lagoons, rocky coastal areas",Carnivore,,,Tern,,"North America, South America",,,GreyBlackWhite,Feathers,24 mph,Up to 21 years,7-12 oz,15-17 inches,,,One to two eggs,"Foxes, dogs",Bird,,,,,43 inches,,,,,,,Bare ground,,,,,1,0,0
Eurasian Jay,"['Africa', 'Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Aves,Passeriformes,Corvidae,Garrulus,Garrulus glandarius,"Fruits, grains, nuts, snails, slugs, worms, insects, and birds",,,30-66 million mature individuals,Habitat loss,The bright blue wing feathers,Common jay,,Mixed forests and grasslands,Omnivore,,,Eurasian jay,1.0,Eurasia and North Africa,,,BrownBlueBlackWhite,Feathers,20 mph,,170g (6oz),,,,,"Cats, martens, owls, crows, eagles, and others",Bird,34-35cm (13-14in),,,,52-58m (20-23in),18 days,,,,,,Trees and bushes,20-23 days,,,,1,0,0
Eurasian Nuthatch,"['Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,Sitta europaea,"Insects, nuts",,,"10,000,000 - 500,000,000",Habitat loss,Orange breast,Wallcreeper,,"Woodlands, old trees",Omnivore,,,Eurasian nuthatch,,"Asia, Europe",,,GreyBlueWhiteOrange,Feathers,13 mph,2-12 years,0.6-1 ounce,3.9 - 7.7 inches,,,6-9,"Hawks, owls",Bird,2-3 inches,,,,8.9-10.6 inches,13-18 days,,,,,,Trees,,,,,0,1,0
European Bee-Eater,"['Africa', 'Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Aves,Coraciiformes,Meropidae,Merops,Merops apiaster,"insects, bees, hornets",,,78 million birds,Parasites,Bright rainbow coloring,,,"grassland, savannahs",Omnivore,,,"Bee Eater, Bee-Eater",,"Europe, Africa & Asia",,,YellowRedBlueBlackWhite,Feathers,29 mph,,1.5 - 3 ounces,11 inches,,,,"owls , snakes , other raptors and reptiles",Bird,3 inches,,,,17 - 20 inches,3 - 4 weeks,,,,,,Burrows,8 months,"insects, primarily bees, wasps and hornets",,1.0,0,1,0
European Robin,"['Africa', 'Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Erithacus,Erithacus rubecula,"Insects, spiders and worms",,,,Hunting on the continent,Its red/orange breast,"Robin, redbreast, English robin, ruddock, robinet, chat",,"Gardens, farms, woods, heathland",Omnivore,,,European Robin,,"Europe, western Russia, northern Africa, Middle East",,,BrownGreyWhiteOrange,Feathers,35 mph,13 months but can live much longer,0.56 to 0.78 ounces,4.9 to 5.5 inches,,,Five to six chicks,"Humans, cats, dogs, birds of prey, snakes, rodents",Bird,,,,,7.9 to 8.7 inches,13 days,,,,,,"Anywhere that provides shelter, including nest boxes, flower pots, crevices and unused machinery",14 days,,,1.0,0,1,0
Falcon,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,,,,,,,,,,High areas like mountains and cliffs,Carnivore,,Solitary,,,,The fastest creatures on the planet!,,BrownGreyYellowBlackWhite,Feathers,200 mph,12 - 18 years,0.7kg - 1.2kg (1.5lbs - 2.6lbs),,,,,"Human, Eagles, Owls, Wolves",Bird,22cm - 40cm (9in - 19in),"Sharp, pointed beak and aerodynamic body shape",,,74 to 120 cm,Approximately one month,,3.0,"Birds, Rabbits, Bats",,,"Tree holes, cliffs, and ledges",Varies with each species,Birds,,1.0,1,0,0
Ferruginous Hawk,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo regalis,"Rodents, rabbits, hares, gophers, reptiles, amphibians, small birds, and insects",,,Tens of thousands,Loss of nesting sites,Rust-colored plumage,Ferruginous rough-leg hawk,,Open dry plains,Carnivore,,,Ferruginous hawk,1.0,North America,,,BrownRedBlackWhite,Feathers,150 mph,,2–4.5lbs,22-27 inches,,,,"Golden eagles, bobcats, and coyotes",Bird,,,,,4-5ft,A month,,,,,,"Cliffs, trees, and other high structures",5-6 weeks,,,1.0,1,0,0
