name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features
Burrowing Owl,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene,Athene cunicularia,"Insects, rodents, reptiles, amphibians, birds, and earthworms",owlet,,about 2 milion,habitat loss,The barred chest patterns,,," Grasslands, deserts, prairies, and agricultural lands",Carnivore,,,Burrowing owl,1.0,"parts of the Unite States, South America, and Central America",,,BrownWhite,Feathers,,6-11 years,122-255 grams,,,,,"Birds of prey, bobcats, cougars, coyotes, foxes, and more",Bird,7-10 inches,,,,,28-30 days,,,,,,,,,Ground burrows,44-53 days,,,1.0,,
Bush Viper,['Africa'],Animalia,Chordata,Reptilia,Squamata,Viperidae,Atheris,,small mammals and birds,,Solitary,,,,,,,Carnivore,,,Bush viper,,,,,,Scales,,10–20 years,4.4–8.1 pounds,18–24 inches,,,Between nine and 12 at a time,,,,,,,,,,,,,,,,,,,,,,,
Butterfly,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Ocean', 'Oceania', 'South-America']",Animalia,Arthropoda,Insecta,Lepidoptera,,,,,,,,,,,,Quiet forests and pastures,Herbivore,100,,Butterfly,12000.0,Worldwide,,,YellowRedBlueBlackWhiteGreenOrange,Hair,,,,,,,,,,,,,,,,,,,,"Nectar, Pollen, Honey",,,,,,Nectar,,,,
Butterfly Fish,['Ocean'],Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,,Chaetodontidae,Small invertebrates and plant matter,,Solitary/School,unknown,Destruction of coral reefs,Bright colors,Butterflyfish,30 hours,"Coral reefs, mudflats, seagrass beds and lagoons",Omnivore,,,Butterfly fish,115.0,,There are more than 100 different species!,,YellowRedBlueBlackWhiteOrangeSilver,Scales,,5-10 years,20-80g,Up to 12 inches,,,,"Fish, Eels, Sharks",Ray-finned fish,,Elongated nose and bright colours,,,,,,200.0,,,"Plankton, Coral, Crustaceans",Salt,,,,,Plankton,,,8.1 - 8.6,
Common Furniture Beetle,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Arthropoda,Insecta,Coleoptera,Ptinidae,Anobium,Anobium punctatum,,Larvae,Solitary,Unknown,,The small grooves on the shell covering,Common horse borer and woodworm,3-5 weeks,Anywhere with sufficient amounts of wood,Herbivore,,,Common Furniture Beetle,1.0,Worldwide,,,Dark BrownTawny,Exoskeleton,,3-5 years,1-10mg,7mm (0.25in),3-5 years,,20-100 eggs,"Birds, mammals, and other animals",Insect,,,,,,,,,,,,,,,,,Wood,,,,
Double Doodle,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Arthropoda,Insecta,Coleoptera,,,,Dung or insects,Larvae,Solitary,Varies,Predation,Some males have horns on their head,Scarab,A few days,"Forests, grasslands, deserts, prairies, and farmlands",Carnivore,,,Dung Beetle,,Worldwide,,,RedBlackGreen,Exoskeleton,,3 - 5 years,Up to 3.5 ounces,1cm - 6cm (0.5in - 2.5in),1 month to 3 years,,3 to 20 eggs,"Mammals, bird, reptiles, amphibians, and insects",Insect,,,,,,,,,,,,,,,,,,,,,
Edible Frog,['Europe'],Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,Pelophylax kl. esculentus,"Insects, Moths, Spiders",Tadpole,Solitary,Sustainable,Habitat loss,,"Common Water Frog, Green Frog",,Woodland swamps and ponds,Omnivore,,Diurnal,Edible Frog,1.0,Across central Europe,Are known to guard the muddy banks!,Amphibian,BrownBlackTanGreen,Permeable,5 mph,5 - 15 years,5g - 12g (0.17oz - 0.4oz),5cm - 11cm (1.9in - 4.7in),2 years,,,"Foxes, Cats, Birds",,,Long legs and streamlined body,,,,2 - 3 weeks,,,,,,Fresh,Immediately,"6,000",,,,,,,
English Bulldog,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,,,,8-10 years,49-55 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Bulldog,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,French Bulldog,,," French bulldogs are known to be very sensitive, harboring emotions that they love to express",Mastiff,FawnWhiteTanBrindle,Hair,,10 to 12 years,28 lbs,,,,,,,,,"Affectionate, friendly, attention-demanding",,,,,,,,,,,,,,,,,,
