name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features,domesticos,protegidos,exoticos
Poochon,['Oceania'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,GreyBlackTanCream,Hair,,12 to 15 years,6 to 17 pounds,,,,,,,,,,,,,,,,,,,,,0,1,0
Porcupine,"['Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'South-America']",Animalia,Chordata,Mammalia,Rodentia,Erethizontidae,Erethizon,Erethizon Dorsaum,,,,,,,,,Dense forests and grassland,Omnivore,1,Solitary,,,,There are 30 different species worldwide!,,BrownGreyYellowBlack,Spikes,2 mph,8-12 years,5.4-16kg (12-35lbs),,,,,"Owl, Eagles, Wolves",Mammal,,,,,,"Roots, Leaves, Berries",,,,Roots,,,,,1,0,0
Rhinoceros,"['Africa', 'Asia']",Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,,Rhinocerotidae,,,,,,,,,"Tropical bushland, grassland and savannas",Herbivore,1,Solitary,,,,It's horns are made from keratin!,,BrownGreyBlack,Leather,30 mph,35-50 years,"800-3,500kg (1,765-7,716lbs)",,,,,"Human, Wild cats",Mammal,,,,,,"Grass, Fruit, Berries, Leaves",,,,Grass,,,,,1,0,0
Schipperke,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,FawnBlueBlackTanCreamChocolate,Hair,,12 to 14 years,16 lbs,,,,,,,,,Confident and lively,,,,,,,,,,,,0,1,0
Scottish Terrier,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BlackBrindleBeige,Hair,,12-15 years,22 lbs,,,,,,,,,"Confident, independent, and alert",,,,,,,,,,,,0,1,0
Welsh Corgi,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,Welsh Corgi,,,There are two distinct breeds!,Herd,,Hair,,13 years,14kg (30lbs),,,,,,,,,,,,,,,,,,,,,0,1,0
White Rhinoceros,['Africa'],Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Ceratotherium,Ceratotherium simum,,,,,,,,,"Tropical bushland, grassland and savannas",Herbivore,1,Solitary,,,,The second largest animal on the land!,,BrownGreyBlack,Leather,30 mph,45-50 years,"1,440-3,600kg (3,168-7,920lbs)",,,,,"Human, Wild cats",Mammal,,,,,,"Grass, Fruit, Berries, Leaves",,,,Grass,,,,,1,0,0
Xoloitzcuintli,['Central-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,FawnBlackWhiteBrindleDark Brown,Hair,,13 to 18 years,55 pounds,,,,,,,,,"Alert, loyal, and calm",,,,,,,,,,,,0,1,0
Zuchon,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,puppy,,,,teddy bear like appearance,teddy bear dog,,,Omnivore,,,,,,,,FawnRedBlackWhiteCream,Hair,,15-18 years,,,,,4-5 puppies,,mammal,,,,,,,,,,,United States,,,,0,1,0
Deer,"['Asia', 'Eurasia', 'Europe', 'North-America']",Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,,Odocoileus virginiana,,,,,,,,,Dense forest and planted areas,Herbivore,1,Herd,,,,There are around 40 different species!,,BrownWhiteTanOrange,Fur,43 mph,10 - 20 years,10kg - 450kg (22lbs - 990lbs),,,,,,Mammal,60cm - 105cm (24in - 206in),Long ears and some male species have antlers,,,,"Acorns, Fruit, Grass",,,,Acorns,,,,,1,0,0
Devon Rex,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,,,,,,,Pixie cat,,,Omnivore,,,Devon Rex,,,,,BrownBlueWhiteTanOrangeChocolateLilac,Hair,,9-15 years,6-9 pounds,,,,,,,,,,,,,,,,,,,,,1,0,0
Dhole,['Asia'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Cuon,Cuon alpinus,,,,,,,,,Dry forest and thick jungle,Carnivore,8,Pack,,,,"Only 2,000 left in the wild!",,BrownGreyRedBlackWhiteGoldTan,Fur,45 mph,10 - 13 years,12kg - 20kg (26lbs - 44lbs),75cm - 110cm (29in - 43in),,,,"Tigers, Leopards, Humans",Mammal,,Bushy tail and distinctive calls,,,,"Deer, Rodents, Birds",,,,Deer,,,,,1,0,0
Dik-Dik,['Africa'],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Madoqua,,,Calf,Pair,Unknown,"Some hunting, some habitat loss",Small pointed snout,"Madoqua, small antelope",5-6 months,"Savannahs, shrublands, bushes",Herbivore,,,Dik-dik,4.0,Eastern and southern parts of Africa,,,BrownGreyRedBlackTan,Hair,25 mph,5-10 years,7-14lbs,1.5-2.5 feet,12 months,3 months,1,"Hyenas, big cats, eagles, monitor lizards, humans",Mammal,12-16 inches,,,,,,,,,"Vegetation, roots, berries",,,,,1,0,0
Dingo,['Oceania'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus Dingo,,,,,,,,,"Desert, wet and dry forests",Carnivore,6,Pack,,,,Natively found on the Australian continent!,,BrownGreyYellowRedBlackTan,Fur,30 mph,7 - 15 years,13kg - 20kg (28lbs - 44lbs),100cm - 125cm (39in - 49in),,,,"Human, Large reptiles",Mammal,,Pricked ears and a long bushy tail,,,,"Rabbit, Lizards, Rodents",,,,Rabbit,,,,,1,0,0
Dolphin,['Ocean'],Animalia,Chordata,Mammalia,Cetacean,Delphinidae,,,,,Pod,,,,,,"All of the world's oceans, rivers in Asia and South America",Carnivore,1,Pod,,,,Can reach speeds of up to 25 mph!,,GreyYellowBlackWhitePink,Smooth,25 mph,20 to 45 years,100 to 300 kg (220 to 660 lbs),2m - 4m (6.5ft - 13ft),,,,"Sharks, orcas",Mammal,,"A beaklike snout and rounded ""melon"" or forehead",,,,"Fish, Squid, Crustaceans",Brackish,,,Squid,,,,,1,0,0
Donkey,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Equus Asinus,,,,,,,,,Arid forests and deserts,Herbivore,1,Herd,,,,"First domesticated 5,000 years ago!",,BrownGreyBlack,Fur,15 mph,15 - 30 years,200kg - 258kg (441lbs - 570lbs),,,,,"Fox, Wolf, Lion",Mammal,90cm - 130cm (35in - 51in),Stocky body and hee-haw sounds,,,,"Grass, Weeds, Vegetables",,,,Grass,,,,,1,0,0
Dorgi,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,puppy,,,,long body and short legs,,,,Omnivore,,,Dorgi,,,,,BrownRedBlackWhiteChocolate,Hair,25 mph,12-15 years,,,,,2-5 puppies,,mammal,,,"Intelligent, friendly, and bold",,,,,,,,Germany and Wales,,,,0,1,0
Dorkie,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BlackWhiteTan,Hair,,10 - 13 years,12 pounds,,,,,,,,,Laid-back and even-tempered,,,,,,,,,,,,0,1,0
Dormouse,"['Africa', 'Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Mammalia,Rodentia,Gliridae,,Gliridae,,,,,,,,,Dense woodlands and shrub land,Omnivore,4,Solitary,,,,"Found in Europe, Africa and Asia!",,BrownGreyBlackWhiteGoldTan,Fur,8 mph,2 - 5 years,15g - 200kg (0.5oz - 7.1oz),6cm - 19cm (2.4in - 7.5in),,,,"Owls, Snakes, Weasels",Mammal,,"Long tail and thin, black whiskers",,,,"Fruits, Nuts, Insects",,,,Fruits,,,,,1,0,0
Doxiepoo,['North-America'],Animalia,Chordata,Mammalia,,,,,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0
Doxle,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,canis lupus familiaris,rabbits,puppies,PackSocial,unknown,,long ears,"Doxies, Beaschunds",2 months,Domesticated,Carnivore,4-6 puppies,PackSocial,Doxie,1.0,North America,,,Multi-colored,Fur,15 mph,10-15 years,15-30 pounds,10-12 inches,12 months,1-3 months,4-6 puppies,,mammal,9-11 inches,deep howl,"Sweet, Loyal, Affectionate",easy to train,,rabbits,,3 months,,meat,North America,,,,1,0,0
Drever,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,,,Drever,,,Uncommon outside of Europe!,Hound,,Hair,,14 years,15kg (33lbs),,,,,,,,,,,,,,,,,,,,,1,0,0
Dugong,['Ocean'],Animalia,Chordata,Mammalia,Sirenia,Dugongidae,Dugong,Dugong Dugon,,,,,,,,,Warmer tropical waters and sea grass forests,Herbivore,1,Solitary,,,,Closely related to the Manatee!,,BrownGrey,Leather,13 mph,50 - 70 years,150kg - 400kg (330lbs - 880lbs),2.7m - 3m (8.9ft - 9.8ft),,,,"Human, Sharks, Crocodile",Mammal,,Large body size and forked tail,,,,"Sea Grass. Algae, Flowers",,,,Sea Grass,,,,,1,0,0
Dunker,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,Dunker,,,A friendly and relaxed dog!,Hound,,Hair,,14 years,22kg (49lbs),,,,,,,,,,,,,,,,,,,,,0,1,0
Dusky Dolphin,['Ocean'],Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Lagenorhynchus,Lagenorhynchus obscurus,"Anchovies, Sardines, Squid",Calf,Pod,Not Known,Hunting and commercial fishing,"Rounded black beak and tall, curved dorsal fin",,11 months,Cooler waters near continental shelves,Carnivore,1,Diurnal/Nocturnal,Dusky Dolphin,3.0,Across the southern hemisphere,"Communicates using whistles, squeaks and clicks!",Mammal,GreyBlueBlackWhite,Smooth,23 mph,18 - 25 years,80kg - 120kg (176lbs - 264lbs),1.6m - 2.1m (5ft - 7ft),4 - 5 years,18 months,,"Killer Whales, Sharks, Humans",,,,,,,,,,,,,,,,1,0,0
English Foxhound,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BlackWhiteTanMulti-colored,Hair,,10 to 13 years,75 pounds,,,,,,,,,"Friendly, independent, affectionate",,,,,,,,,,,,0,1,0
English Shepherd,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,English Shepherd,,,Highly intelligent and independent!,Herd,BlackWhiteTanBrindle,Hair,,14 years,27kg (60lbs),,,,,,,,,"Intelligent, shy and devoted",,,,,,,,,,,,0,1,0
Eskimo Dog,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,,,Eskimo Dog,,,Takes pure delight in cold weather!,North,,Hair,,14 years,47kg (105lbs),,,,,,,,,,,,,,,,,,,,,1,0,0
Golden Dox,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownYellowRedBlackGoldTan,Hair,,8 to 14 years,60 lbs,,,,,,,,,cheerful and clever,,,,,,,,,,,,0,1,0
Golden Newfie,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownGreyRedBlack,Hair,,10 years,138 lbs,,,,,,,,,"Friendly, protective, and patient",,,,,,,,,,,,0,1,0
Golden Pyrenees,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownGreyYellowBlackWhiteGoldCream,Hair,,10 to 13 years,110 lbs,,,,,,,,,Energetic and gentle,,,,,,,,,,,,0,1,0
Golden Retriever,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,,,Golden Retriever,,,"Trusting, kind and gentle!",Gun Dog,,Hair,,12 years,34kg (75lbs),,,,,,,,,,,,,,,,,,,,,1,0,0
Golden Shepherd,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,GreyBlueBlackWhiteGoldTanCream,Hair,,10-14years,80 lbs,,,,,,,,,"Friendly, loyal, and intelligent",,,,,,,,,,,,0,1,0
Goldendoodle,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownBlackWhite,Hair,,12-15years,75 lbs,,,,,,,,,"Energetic, intelligent, gentle",,,,,,,,,,,,0,1,0
Gordon Setter,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BlackTan,Hair,,10-12 years,45-80 lbs,,,,,,,," A coal-black coat with rich chestnut or mahogany markings on their paws and lower legs, vents, throat, and muzzles; one spot above each eye; and two spots on their chest.","Loyal, alert, eager",,,,,,,,,,,,0,1,0
Greyhound,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,,,Greyhound,,,Extremely fast and athletic!,South,,Hair,,11 years,32kg (70lbs),,,,,,,,,,,,,,,,,,,,,1,0,0
Hedgehog,"['Africa', 'Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Mammalia,Erinaceomorpha,Erinaceidae,,,,,,,,,,,Dense vegetation and woodland,Omnivore,5,Solitary,,,,Thought to be one of the oldest mammals on Earth!,,BrownGreyTan,Spikes,12 mph,3-6 years,1-2kg (2.2-4.4lbs),,,,,"Owl, Dog, Foxes",Mammal,,,,,,"Insects, Worms, Seeds",,,,Insects,,,,,1,0,0
Huskydoodle,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,GreyBlackWhite,Hair,,10-13years,60lbs,,,,,,,,,Affectionate and intelligent,,,,,,,,,,,,0,1,0
Indri,['Africa'],Animalia,Chordata,Mammalia,Primates,Indriidae,Indri,Indri indri,"Fruits, Flowers, Leaves",Infant,Troop,"10,000",Habitat loss,,Babakoto,4 - 5 months,Lowland rainforest,Herbivore,1,Diurnal,Indri,1.0,Eastern Madagascar,The largest species of Lemur!,Mammal,BrownGreyBlackWhite,Fur,20 mph,15 - 22 years,6kg - 9.5kg (13lbs - 21lbs),,8 - 9 years,8 months,,"Fossa, Hawks, Snakes",,64cm - 72cm (25in - 28in),"Black and white markings and loud, prolonged vocal calls",,,,,,,,,,,,,1,0,0
Irish WolfHound,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,,,Irish WolfHound,,,"Sweet-tempered, patient and thoughtful!",South,,Hair,,9 years,54kg (120lbs),,,,,,,,,,,,,,,,,,,,,1,0,0
Keeshond,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,,,,,,,,,Fur,,13-15 years,34-45lbs,,,,,,,,,Alert & energetic,,,,,,,,,,,,1,0,0
Key Deer,['North-America'],Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,Odocoileus virginianus,none,fawn,Solitary,700-800,vehicle collisions,small size,toy deer,7 months,"pine rocklands, woodlands, wetlands",Herbivore,,,key deer,1.0,Florida Keys,,herd,BrownWhiteGrey-Brown,Fur,26 mph,7-9 years,44-85 pounds,,6 months- 1.5 years,12-16 weeks,1,"Alligator, Crocodile",,24-32 inches,,,,,,,,,,,,,,1,0,0
King Shepherd,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownFawnRedBlack,Hair,,11 years,150 Lbs,,,,,,,,,Hard-working and loyal,,,,,,,,,,,,0,1,0
Kodkod,['South-America'],Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus guigna,"Rodents, birds, reptiles, and insects",Kittens,Solitary,"6,000-92,000 mature individuals",Habitat loss,The black spots and stripes all over the body,"Güiña, guigna, or Chilean cat",72-78 days,Mountain or coastal forests,Carnivore,,,Kodkod,1.0,Chile and Argentina,,,BrownBlackWhite,Fur,,11 years,2-2.5kg (4.4-5.5lbs.),40-52cm (15-20in),2 years,,1-4 kittens,,Mammal,25cm (10in),,,,,,,,,,,,,,1,0,0
Kooikerhondje,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,RedWhite,Hair,,12 to 14 years.,24 pounds,,,,,,,,,"Affable, alert, cheerful",,,,,,,,,,,,0,1,0
Kudu,['Africa'],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Tragelaphus Strepsiceros,,,,,,,,,Shrub woodland and savanna plains,Herbivore,1,Herd,,,,Lives in herds of up to 24 individuals!,,BrownGreyRed,Hair,60 mph,8-14 years,120-256kg (265-565lbs),,,,,"Lions, Leopards, Wild Dogs",Mammal,,,,,,"Leaves, Herbs, Fruit, Flowers",,,,Leaves,,,,,1,0,0
Mudi,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownFawnBlackWhite,Hair,,12 to 14 years,29 lbs,,,,,,,,,Smart and energy-filled,,,,,,,,,,,,0,1,0
Northern Inuit Dog,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Carnivore,,,Northern Inuit Dog,,,,,GreyBlackWhite,Hair,,12 to 15 years,,,,,,,,,,"Intelligent, friendly, and loyal",,,,,,,,,,,,0,1,0
Old English Sheepdog,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,,,Old English Sheepdog,,,"Intelligent, sociable and playful!",Herd,,Hair,,12 years,30kg (66lbs),,,,,,,,,,,,,,,,,,,,,1,0,0
Otterhound,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,GreyBlueBlackTanCreamWhite-Brown,Hair,,10 – 13 years,115 lbs,,,,,,,,,Friendly and sensitive,,,,,,,,,,,,0,1,0
Petite Goldendoodle,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownBlueBlackWhiteTanCreamSilver,Hair,,10 to 15 years,20 lbs,,,,,,,,,Energetic and friendly,,,,,,,,,,,,0,1,0
Poodle,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,Poodle,,,"Intelligent, alert and active!",Gun Dog,BrownGreyRedBlueBlackWhiteCreamSilver,Hair,,16 years,70lbs,,,,,,,,,,,,,,,,,,,,,0,1,0
Pudelpointer,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownBlack,Hair,,11 to 14 years,70 lbs,,,,,,,,,A people pleaser and intelligent,,,,,,,,,,,,0,1,0
Pyredoodle,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0
Red Fox,"['Africa', 'Asia', 'Europe', 'North-America', 'Oceania']",Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes,"Rabbits, mice, voles, birds, frogs, fish, eggs, and fruits and vegetables",Kits or pups,Family units,Millions,Hunting,The bushy tail,Silver fox or cross fox,49-55 days,"Forests, grasslands, tundra, prairie, deserts, and mountains",Omnivore,1-13,,Red fox,1.0,"North America, Europe, Asia, North Africa, and Australia",,,BrownGreyRedBlackSilver,Hair,31 mph,"2-4 years in the wild, 10-12 in captivity",6.5-24 lbs,36-42 inches,10 months,56-70 days,1-13,"Wolves, cougars, lynxes, bobcats, eagles, and owls",,16 inches,,,,,,,,,,,,,,1,0,0
Red Squirrel,['North-America'],Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamiasciurus,Tamiasciurus hudsonicus,,Kits or pups,Solitary,Unknown,Competition for resources with other animals,The red-colored fur,Pine squirrel and chickaree,1 month,Hardwood and conifer forests,Omnivore,,,Red Squirrel,1.0,,,,BrownGreyRedWhite,Hair,15 mph,5 years on average,200-300g (7-10oz),25-38cm (10-15in),1 year,70 days,1-8 pups,"Weasels, martens, minks, foxes, lynx, snakes, eagles, owls, and hawks",Mammal,,,,,,,,,,"Nuts, seeds, mushrooms, flowers, sap, insects, and bird eggs",,,,,1,0,0
Red Wolf,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus rufus,,Cub,,,,,,,Coastal prairie and marshland,Carnivore,5,Pack,,,,Only 100 in the wild!,,BrownGreyRedBlackWhite,Fur,46 mph,10 - 12 years,18kg - 41kg (40lbs - 90lbs),95cm - 120cm (37in - 47in),,,,"Wolves, Coyotes, Humans",Mammal,,Reddish fur and thin white legs,,,,"Deer, Rodents, Raccoons",,,,Deer,,,,,1,0,0
Reindeer,"['Eurasia', 'Europe', 'North-America', 'Ocean']",Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rangifer,Rangifer Tarandus,,,,,,,,,Forests close to the Arctic tundra,Herbivore,1,Herd,,,,Also known as the Caribou,,BrownGreyWhiteTan,Fur,50 mph,12-15 years,60-320kg (132-705lbs),,,,,,Mammal,,,,,,"Grass, Herbs, Berries",,,,Grass,,,,,1,0,0
Rodents,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Mammalia,Rodentia,,,,"Small invertebrates, small mammals, birds, fish","Pups, pinkies, kittens",Social,"Billions, though some rodents are endangered.","Humans, habitat destruction, climate change",The ever-growing incisors that define them.,"Sewellel (mountain beaver); groundpig, whistlepig (groundhog); chigüiro, fercho (capybara); street rat, sewer rat, wharf rat (brown rat); votsotsa (Malagasy giant rat); coypu (nutria); fat dormouse (edible dormouse); cavy (guinea pig); sand puppy (naked mole-rat).",16 days (hamster) to 205 to 217 days (North American porcupine),Every type of habitat but Antarctica,Omnivore,,,"Rats, mice, porcupines, guinea pigs, capybaras, hamsters, gerbils, squirrels, etc.",2277.0,Worldwide,,"A group of hamsters, gerbils or mice is a horde. A group of mice or rats can also be a mischief. A group of squirrels is a dray, a group of prairie dogs is a coterie or a town, and a group of beavers is a colony.",BrownGreyBlackWhite,Fur,22 mph,Six months (Muller’s Giant Sunda Rat) to 32 years (naked mole rat),0.11 ounces (pygmy jerboa) to 146 pounds (capybara),2 inches (pygmy jerboa) to 4.4 feet (capybara),5 weeks (house mouse) to 18 months (capybara),3 weeks (house mouse) to 3 months (capybara),"Two (capybara, which only breeds once a year) to 14 (brown rat, which can breed seven times a year).","Cats, birds of prey, jaguars, snakes, caimans, humans, dogs, lizards",Rodent,Up to 20 to 24 inches high at the shoulder (capybara),,,,,,,,,,,,,,1,0,0
Roe Deer,"['Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Capreolus,Capreolus capreolus,,Fawn,Herd,15 million mature individuals,Habitat loss and hunting,The male’s prominent antlers,"The western roe deer, European roe, or roebuck",Up to 10 months,"Forests, grasslands, and meadows",Herbivore,,,Roe Deer,1.0,Europe and Western Asia,,,BrownBlackWhite,Hair,37 mph,10-15 years,22-30kg (48-66lbs),105-120cm (3.5-4ft),14-36 months,4-5 months,1-3 fawns,"Wolves, lynxes, and foxes",Mammal,95-135cm (3-4.4ft),,,,,,,,,"Grass, leaves, berries, and buds",,,,,1,0,0
Spider Monkey,"['Central-America', 'South-America']",Animalia,Chordata,Mammalia,Primates,Atelidae,Ateles,Simia Paniscus,,,,,,,,,Tropical jungle and rainforest,Omnivore,1,Troop,,,,Found in the tropical jungles of South America!,,BrownGreyBlackWhite,Hair,35 mph,15-27 years,6.4-12kg (14-26lbs),,,,,"Human, Eagles, Jaguar",Mammal,,,,,,"Fruit, Nuts, Leaves",,,,Fruit,,,,,1,0,0
Springerdoodle,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0
Teddy Roosevelt Terrier,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Carnivore,,,Teddy Roosevelt Terrier,,,,,BlackWhiteTan,Hair,,15 years,17.5lbs,,,,,,,,,"Active, intelligent and eager to please",,,,,,,,,,,,0,1,0
Tenterfield Terrier,['Oceania'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BlackWhiteTan,Hair,,12 – 14 years,10 lbs,,,,,,,,,Intelligent and active,,,,,,,,,,,,0,1,0
Toy Poodle,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownGreyBlueBlackWhiteCreamSilver,Hair,,12-16 years,,,,,,,,,,"Intelligent, active, alert",,,,,,,,,,,,0,1,0
Whoodle,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,Whoodle,,,,,BrownGreyRedBlackCreamSilver,Hair,,12 to 15 years,60 lbs,,,,,,,,,,,,,,,,,,,,,0,1,0
Elk,"['Asia', 'Eurasia', 'North-America']",Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus,Cervus canadensis,Baby ground-dwelling birds,Calf,Herd,Unknown,"Diseases, parasites",Large male antlers and bugling sound,"Wapiti, red deer",240-262 days,"Mountain meadows, forests, forest edges",Omnivore,,,"Elk, wapiti",14.0,"North America, Central Asia, East Asia",,Herd or solitary,Brown,Hair,40 mph,"10-15 years in the wild, 20 years in captivity","171-600kg (377-1,300lbs)",1.6-2.7m (5ft 3in-8ft 10in),16 months,2 months,1,,Cervid,0.75-1.5m (2ft 6in-4ft 11in),,,,,,,,,,,,,,1,0,0
English Pointer,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0
