name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features,domesticos,protegidos,exoticos
Sei Whale,['Ocean'],Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,Balaenoptera borealis," Krill and other euphausiids, copepods, small fish and squid",,Solitary,"80,000","Humans, climate change, pollution","Its tall, sickle-shaped dorsal fin","Japan finner, lesser fin whale, pollock whale, sardine whale, coalfish, Rudolph’s rorqual",10.5 to 12 months,,Carnivore,,,Sei Whale,2.0,,,,GreyWhite,Skin,32 mph,70 years plus, Up to 31 tons,"64 feet, females bigger",,,,Humans,Mammal,,,,,,,Salt,,,,,,,,0,1,0
Serval,['Africa'],Animalia,Chordata,Mammalia,Carnivora,Felidae,Leptailurus,Leptailurus serval,"Rodents, Birds, Frogs",Kitten,Solitary,Stable,Habitat loss and hunting,Large and round dish-like ears,African Serval,72 days,Wetlands and grasslands close to water,Carnivore,2,Crepuscular,Serval,10.0,Sub-Saharan Africa,Can leap more than 1 meter into the air!,Mammal,BrownYellowBlackWhiteOrange,Fur,40 mph,10 - 20 years,3.5kg - 19kg (7.7lbs - 41.9lbs),60cm - 100cm (23.6in - 39.4in),18 - 24 months,5 months,,"Human, Leopard, Hyena",,,,,,,,,,,,,,,,1,0,0
Shepadoodle,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownBlackWhite,Hair,,11-14 years,90 lbs,,,,,,,,,,,,,,,,,,,,,0,1,0
Shepkita,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownBlackWhiteGoldTan,Hair,,10-13 years,110 lbs,,,,,,,,,"Active, loyal, eager to please",,,,,,,,,,,,0,1,0
Shiba Inu,['Asia'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,,Hair,,,,,,,,,,,,,,,,,,,,,,,,0,1,0
Siamese,['Asia'],Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,,,,,,,Meezer,,,Omnivore,4,,Siamese,,,Originated from temple cats in Thailand!,Shorthair,BrownGreyBlueBlackWhiteCreamLilac,Hair,,12-20 years,Six to 12 pounds,,,,,,,,,"Intelligent, calm and sociable",,,,,,,,,,,,1,0,0
Siberian,['Eurasia'],Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,,,,,,,Siberian Forest Cat,,,Omnivore,5,,Siberian Cat,,,An exceptionally agile jumper!,Longhair,BrownFawnBlueBlackWhiteCreamLilacGolden,Hair,,11 to 15 years,8 to 17 lbs.,,,,,,,,,"Affectionate, loving and loyal",,,,,,,,,,,,1,0,0
Siberian Husky,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,Siberian Husky,,,Is adequately warm in sub-zero temperatures!,North,,Hair,,14 years,27kg (60lbs),,,,,,,,,,,,,,,,,,,,,0,1,0
Siberian Ibex,"['Asia', 'Eurasia']",Animalia,Chordata,Mammalia,Cetartiodactyla,Bovidae,Capra,Capra sibirica,,Kid,Gregarious,"Around 256,573 individuals in the wild, but its conservation status is near threatened.","Humans, snow leopards, habitat destruction","The male’s huge, curved, ridged horns","Gobi ibex, Mongolian ibex, Himalayan ibex, Central Asian ibex, Altai ibex, Tian Shan ibex",About 6 months,"Mountains, rocky, semi-arid places, alpine meadows",Herbivore,,,Siberian Ibex,1.0,Central Asia,,Herd,BrownGreyBlack,Hair,43.5 mph,"15 to 17 years, 22 in captivity",66 to 220 pounds,51 to 65 inches,"Two years for females, as long as five years for males",Five to eight months,1,"Humans, snow leopards, golden eagles, wild dogs, wolves, wolverines",Mammal,26 to 43 inches at the shoulder,,,,,,,,,,,,,,1,0,0
Siberian Retriever,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BlackWhiteGoldTanChocolate,Hair,,,65 lbs,,,,,,,,,Intelligent and affectionate but can be stubborn,,,,,,,,,,,,0,1,0
