name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,characteristics_diet
Long-Tailed Tit,"['Asia', 'Europe']",Animalia,Chordata,Aves,Omnivore
Macaroni Penguin,"['Antarctica', 'Ocean']",Animalia,Chordata,Aves,Carnivore
Macaw,"['Central-America', 'South-America']",Animalia,Chordata,Aves,Omnivore
Magellanic Penguin,"['Ocean', 'South-America']",Animalia,Chordata,Aves,Carnivore
Magpie,"['Africa', 'Asia', 'Eurasia', 'Europe', 'Oceania']",Animalia,Chordata,Aves,Omnivore
Mallard,"['Africa', 'Asia', 'Central-America', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Omnivore
Marabou Stork,['Africa'],Animalia,Chordata,Aves,Omnivore
Mexican Eagle (Northern crested caracara),"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Aves,Carnivore
Mountain Bluebird,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Omnivore
Myna Bird,"['Africa', 'Asia', 'North-America', 'Oceania']",Animalia,Chordata,Aves,Carnivore
Nicobar pigeon,"['Asia', 'Oceania']",Animalia,Chordata,Aves,Omnivore
Nightingale,"['Africa', 'Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Aves,Omnivore
Northern Cardinal,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Omnivore
Orange-Crowned Warbler,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Omnivore
Ortolan Bunting,"['Africa', 'Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Aves,Omnivore
Parakeet,"['Africa', 'Asia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Omnivore
Parrot,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Omnivore
Parrotlet,"['Central-America', 'South-America']",Animalia,Chordata,Aves,Omnivore
Peacock,"['Africa', 'Asia']",Animalia,Chordata,Aves,Omnivore
Pelican,['Least Concern'],Animalia,Chordata,Aves,Omnivore
Peregrine Falcon,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Carnivore
Pesquet’s Parrot (Dracula Parrot),['Oceania'],Animalia,Chordata,Aves,Herbivore
Pheasant,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Omnivore
Pileated Woodpecker,['North-America'],Animalia,Chordata,Aves,Omnivore
Quail,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Omnivore
Quetzal,"['Central-America', 'South-America']",Animalia,Chordata,Aves,Omnivore
Red-Billed Quelea Bird,['Africa'],Animalia,Chordata,Aves,Omnivore
Red-Headed Vulture,['Asia'],Animalia,Chordata,Aves,Carnivore
Red-winged blackbird,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Omnivore
Rose-breasted Grosbeak,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Aves,Omnivore
Roseate Spoonbill,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Aves,Omnivore
Royal Penguin,"['Antarctica', 'Ocean']",Animalia,Chordata,Aves,Carnivore
Ruby-Throated Hummingbird,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Herbivore
Savannah Sparrow,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Omnivore
Scarlet Macaw,"['Central-America', 'South-America']",Animalia,Chordata,Aves,Omnivore
Sea Eagle,"['Africa', 'Antarctica', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Ocean', 'Oceania']",Animalia,Chordata,Aves,Carnivore
Seagull,"['Africa', 'Antarctica', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Ocean', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Carnivore
Senegal Parrot,['Africa'],Animalia,Chordata,Aves,Herbivore
Song Sparrow,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Omnivore
Sparrow,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Omnivore
Sparrowhawk,"['Africa', 'Asia', 'Europe', 'Oceania']",Animalia,Chordata,Aves,Carnivore
Spixs Macaw,['Extinct in the Wild'],Animalia,Chordata,Aves,Omnivore
Swan,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Omnivore
Tawny Owl,"['Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Aves,Omnivore
Toucan,"['Central-America', 'South-America']",Animalia,Chordata,Aves,Omnivore
Tree swallow,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Omnivore
Umbrellabird,"['Central-America', 'South-America']",Animalia,Chordata,Aves,Omnivore
Ural owl,"['Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Aves,Carnivore
Wandering Albatross,['Ocean'],Animalia,Chordata,Aves,Carnivore
Weaver Bird,"['Africa', 'Asia']",Animalia,Chordata,Aves,Omnivore
Whinchat,"['Africa', 'Europe']",Animalia,Chordata,Aves,Omnivore
White-Tailed Eagle,"['Asia', 'Eurasia', 'Europe', 'North-America']",Animalia,Chordata,Aves,Carnivore
Whooping Crane,['North-America'],Animalia,Chordata,Aves,Omnivore
